best,threshold,entropy
146,146,146,123
146,146,146,123
146,146,146,123
147,147,147,124
147,147,147,124
147,147,147,124
147,147,147,124
147,147,147,124
147,147,147,124
148,148,148,125
149,149,149,125
149,149,149,125
150,150,150,126
150,150,150,126
150,150,150,126
150,150,150,126
150,150,150,126
151,151,151,127
151,151,151,127
151,151,151,127
152,152,152,127
152,152,152,127
153,153,153,128
154,154,154,129
156,156,156,131
156,156,156,131
157,157,157,132
159,159,159,134
160,160,160,135
160,160,160,135
160,160,160,135
160,160,160,135
161,161,161,136
162,162,162,136
164,164,164,138
164,164,164,138
164,164,164,138
165,165,165,139
165,165,165,139
165,165,165,139
165,165,165,139
165,165,165,139
165,165,165,139
165,165,165,139
166,166,166,140
166,166,166,140
167,167,167,141
167,167,167,141
167,167,167,141
167,167,167,141
167,167,167,141
168,168,168,142
168,168,168,142
168,168,168,142
168,168,168,142
168,168,168,142
168,168,168,142
168,168,168,142
169,169,169,143
170,170,170,144
171,171,171,145
172,172,172,146
173,173,173,147
173,173,173,147
174,174,174,148
175,175,175,149
175,175,175,149
177,177,177,150
177,177,177,150
177,177,177,150
177,177,177,150
178,178,178,151
178,178,178,151
179,179,179,152
181,181,181,154
181,181,181,154
181,181,181,154
181,181,181,154
181,181,181,154
181,181,181,154
181,181,181,154
181,181,181,154
182,182,182,155
182,182,182,155
182,182,182,155
182,182,182,155
182,182,182,155
183,183,183,156
183,183,183,156
184,184,184,157
186,186,186,158
186,186,186,158
187,187,187,159
188,188,188,160
189,189,189,161
189,189,189,161
190,190,190,162
191,191,191,162
191,191,191,162
191,191,191,162
192,192,192,163
192,192,192,163
192,192,192,163
193,193,193,164
193,193,193,164
193,193,193,164
194,194,194,165
194,194,194,165
195,195,195,166
196,196,196,167
196,196,196,167
196,196,196,167
198,198,198,169
198,198,198,169
198,198,198,169
198,198,198,169
199,199,199,170
199,199,199,170
199,199,199,170
199,199,199,170
199,199,199,170
201,201,201,172
201,201,201,172
201,201,201,172
201,201,201,172
201,201,201,172
201,201,201,172
201,201,201,172
202,202,202,173
202,202,202,173
202,202,202,173
202,202,202,173
202,202,202,173
202,202,202,173
204,204,204,175
204,204,204,175
204,204,204,175
204,204,204,175
205,205,205,176
205,205,205,176
205,205,205,176
205,205,205,176
206,206,206,177
206,206,206,177
207,207,207,178
207,207,207,178
209,209,209,180
209,209,209,180
209,209,209,180
211,211,211,181
212,212,212,182
212,212,212,182
212,212,212,182
212,212,212,182
213,213,213,183
213,213,213,183
213,213,213,183
213,213,213,183
214,214,214,184
214,214,214,184
214,214,214,184
215,215,215,185
215,215,215,185
216,216,216,185
216,216,216,185
216,216,216,185
218,218,218,186
219,219,219,187
219,219,219,187
219,219,219,187
219,219,219,187
219,219,219,187
220,220,220,188
220,220,220,188
220,220,220,188
220,220,220,188
220,220,220,188
220,220,220,188
221,221,221,189
222,222,222,190
222,222,222,190
222,222,222,190
223,223,223,191
223,223,223,191
224,224,224,192
224,224,224,192
224,224,224,192
224,224,224,192
224,224,224,192
224,224,224,192
224,224,224,192
225,225,225,193
225,225,225,193
225,225,225,193
225,225,225,193
226,226,226,194
226,226,226,194
226,226,226,194
226,226,226,194
226,226,226,194
226,226,226,194
226,226,226,194
226,226,226,194
227,227,227,195
227,227,227,195
228,228,228,196
228,228,228,196
228,228,228,196
229,229,229,197
230,230,230,197
230,230,230,197
230,230,230,197
231,231,231,198
231,231,231,198
232,232,232,199
232,232,232,199
232,232,232,199
233,233,233,200
234,234,234,201
234,234,234,201
234,234,234,201
234,234,234,201
235,235,235,202
235,235,235,202
236,236,236,203
236,236,236,203
237,237,237,204
237,237,237,204
237,237,237,204
238,238,238,205
238,238,238,205
239,239,239,206
239,239,239,206
239,239,239,206
239,239,239,206
239,239,239,206
240,240,240,207
240,240,240,207
240,240,240,207
240,240,240,207
242,242,242,208
242,242,242,208
242,242,242,208
242,242,242,208
242,242,242,208
243,243,243,209
243,243,243,209
243,243,243,209
243,243,243,209
243,243,243,209
243,243,243,209
243,243,243,209
243,243,243,209
243,243,243,209
243,243,243,209
243,243,243,209
244,244,244,210
245,245,245,211
246,246,246,212
246,246,246,212
246,246,246,212
248,248,248,214
248,248,248,214
248,248,248,214
249,249,249,215
249,249,249,215
252,252,252,217
253,253,253,218
253,253,253,218
253,253,253,218
254,254,254,218
254,254,254,218
255,255,255,219
256,256,256,220
256,256,256,220
257,257,257,221
259,259,259,223
259,259,259,223
259,259,259,223
259,259,259,223
259,259,259,223
259,259,259,223
260,260,260,224
260,260,260,224
260,260,260,224
261,261,261,224
261,261,261,224
261,261,261,224
261,261,261,224
261,261,261,224
261,261,261,224
261,261,261,224
261,261,261,224
261,261,261,224
262,262,262,225
262,262,262,225
264,264,264,226
264,264,264,226
264,264,264,226
265,265,265,226
266,266,266,227
266,266,266,227
268,268,268,229
269,269,269,230
269,269,269,230
269,269,269,230
269,269,269,230
269,269,269,230
270,270,270,231
270,270,270,231
270,270,270,231
271,271,271,231
273,273,273,232
273,273,273,232
273,273,273,232
273,273,273,232
273,273,273,232
273,273,273,232
273,273,273,232
273,273,273,232
273,273,273,232
273,273,273,232
273,273,273,232
273,273,273,232
273,273,273,232
275,275,275,234
276,276,276,234
276,276,276,234
276,276,276,234
276,276,276,234
277,277,277,235
277,277,277,235
279,279,279,236
279,279,279,236
280,280,280,237
280,280,280,237
280,280,280,237
281,281,281,238
282,282,282,238
283,283,283,238
283,283,283,238
283,283,283,238
284,284,284,238
284,284,284,238
285,285,285,239
285,285,285,239
285,285,285,239
286,286,286,240
286,286,286,240
286,286,286,240
286,286,286,240
286,286,286,240
286,286,286,240
286,286,286,240
286,286,286,240
286,286,286,240
287,287,287,241
287,287,287,241
287,287,287,241
287,287,287,241
287,287,287,241
287,287,287,241
287,287,287,241
287,287,287,241
287,287,287,241
288,288,288,242
290,290,290,244
290,290,290,244
290,290,290,244
290,290,290,244
290,290,290,244
291,291,291,245
291,291,291,245
291,291,291,245
291,291,291,245
291,291,291,245
291,291,291,245
291,291,291,245
291,291,291,245
291,291,291,245
292,292,292,246
293,293,293,247
293,293,293,247
293,293,293,247
293,293,293,247
293,293,293,247
294,294,294,248
294,294,294,248
294,294,294,248
294,294,294,248
294,294,294,248
296,296,296,250
297,297,297,251
297,297,297,251
297,297,297,251
298,298,298,252
298,298,298,252
299,299,299,253
299,299,299,253
299,299,299,253
300,300,300,254
300,300,300,254
300,300,300,254
300,300,300,254
301,301,301,255
302,302,302,256
302,302,302,256
303,303,303,257
303,303,303,257
303,303,303,257
303,303,303,257
303,303,303,257
303,303,303,257
303,303,303,257
303,303,303,257
303,303,303,257
303,303,303,257
303,303,303,257
304,304,304,258
305,305,305,258
305,305,305,258
305,305,305,258
305,305,305,258
306,306,306,259
309,309,309,262
309,309,309,262
309,309,309,262
309,309,309,262
309,309,309,262
310,310,310,263
310,310,310,263
311,311,311,264
312,312,312,265
312,312,312,265
313,313,313,266
314,314,314,267
314,314,314,267
314,314,314,267
315,315,315,268
315,315,315,268
315,315,315,268
315,315,315,268
316,316,316,269
316,316,316,269
316,316,316,269
318,318,318,271
319,319,319,272
319,319,319,272
